,Original,Modificado
rxn00001_c0,-191.4179043972047,848.7474001422831
rxn00001_d0,0.0,-826.5483932418166
rxn00001_g0,0.0,0.0
rxn00001_v0,0.0,0.0
rxn00001_w0,0.0,0.0
rxn00006_c0,0.02865413293779272,0.002236582112823324
rxn00006_x0,0.025283058474546267,0.0019734548047611058
rxn00018_d0,0.0,0.0
rxn00018_x0,0.0,0.0
rxn00048_d0,0.016855372316363956,0.0013156365365074594
rxn00069_d0,-283.0812038180087,279.8318577379706
rxn00076_c0,0.0,0.0
rxn00076_d0,0.0,0.0
rxn00077_c0,0.0,0.0
rxn00077_d0,0.0,0.0
rxn00078_c0,0.0,0.0
rxn00078_x0,0.0,0.0
rxn00083_c0,-725.0238241014086,0.0
rxn00086_c0,0.0,0.0
rxn00086_d0,-6.740379112452337,-0.42062666972012436
rxn00086_m0,0.0,0.0
rxn00088_c0,0.0,0.0
rxn00097_c0,0.0,140.43847228013095
rxn00097_d0,45.51591029566902,139.90431103858702
rxn00097_m0,28.40349355147427,0.003946909611855223
rxn00097_n0,0.0,0.0
rxn00100_c0,0.011461653175100759,0.0008946328448295059
rxn00100_x0,0.0,0.0
rxn00101_c0,121.85226929981737,717.4730731760636
rxn00102_c0,0.0,-97.51097661677552
rxn00102_d0,-312.8801240977688,88.21431726142819
rxn00105_c0,0.0,0.0
rxn00116_c0,0.0,0.0
rxn00116_g0,0.0,0.0
rxn00117_c0,-273.4553612130751,-121.58630661301986
rxn00117_d0,0.0,0.0
rxn00117_m0,0.0,0.0
rxn00117_n0,0.0,0.0
rxn00117_x0,0.0,0.0
rxn00119_c0,9.18617791241836,1.2504404179117732
rxn00120_c0,0.0,0.0
rxn00120_g0,0.0,0.0
rxn00121_c0,0.0,0.0
rxn00121_d0,0.0,0.0
rxn00122_c0,0.008427686158181976,0.0006578182682537296
rxn00122_d0,0.0,0.0
rxn00123_c0,0.0,0.0
rxn00124_c0,0.0,0.0
rxn00124_d0,0.0,0.0
rxn00126_c0,6.605030472751962,0.5155519113784957
rxn00126_n0,0.0,0.0
rxn00128_c0,0.0,0.0
rxn00134_c0,3.444058225402621,0.26882401350457363
rxn00138_c0,0.06573595203376742,0.005130982493900377
rxn00139_c0,-3.1067822253522306,-0.24249812640905044
rxn00141_c0,6.525557392280307,0.5093486851088629
rxn00148_c0,-641.2594029672821,94.7923770285664
rxn00148_d0,-41.48786470579917,-141.58968625037747
