,Original,Modificado
rxn00001_c0,-191.4179043972047,-118.82270926236754
rxn00001_d0,0.0,0.0
rxn00001_g0,0.0,0.0
rxn00001_v0,0.0,0.0
rxn00001_w0,0.0,0.0
rxn00006_c0,0.02865413293779272,0.028435891438469824
rxn00006_x0,0.025283058474546267,0.02509049244561567
rxn00018_d0,0.0,0.0
rxn00018_x0,0.0,0.0
rxn00048_d0,0.016855372316363956,0.016726994963749475
rxn00069_d0,-283.0812038180087,-906.8943586933203
rxn00076_c0,0.0,0.0
rxn00076_d0,0.0,0.0
rxn00077_c0,0.0,0.0
rxn00077_d0,0.0,0.0
rxn00078_c0,0.0,0.0
rxn00078_x0,0.0,0.0
rxn00083_c0,-725.0238241014086,-575.3066905514601
rxn00086_c0,0.0,0.0
rxn00086_d0,-6.740379112452337,-5.347844933453073
rxn00086_m0,0.0,0.0
rxn00088_c0,0.0,0.0
rxn00097_c0,0.0,0.0
rxn00097_d0,45.51591029566902,0.0
rxn00097_m0,28.40349355147427,78.91773985357187
rxn00097_n0,0.0,0.0
rxn00100_c0,0.011461653175100759,0.011374356575353316
rxn00100_x0,0.0,0.0
rxn00101_c0,121.85226929981737,115.53994480763183
rxn00102_c0,0.0,496.1469619967669
rxn00102_d0,-312.8801240977688,-614.3446327830776
rxn00105_c0,0.0,0.0
rxn00116_c0,0.0,0.0
rxn00116_g0,0.0,0.0
rxn00117_c0,-273.4553612130751,-164.90308137445027
rxn00117_d0,0.0,0.0
rxn00117_m0,0.0,0.0
rxn00117_n0,0.0,0.0
rxn00117_x0,0.0,0.0
rxn00119_c0,9.18617791241836,15.898091906449917
rxn00120_c0,0.0,0.0
rxn00120_g0,0.0,0.0
rxn00121_c0,0.0,0.0
rxn00121_d0,0.0,0.0
rxn00122_c0,0.008427686158181976,0.008363497481874737
rxn00122_d0,0.0,0.0
rxn00123_c0,0.0,0.0
rxn00124_c0,0.0,0.0
rxn00124_d0,0.0,0.0
rxn00126_c0,6.605030472751962,6.554723881469687
rxn00126_n0,0.0,0.0
rxn00128_c0,0.0,0.0
rxn00134_c0,3.444058225402621,3.4178268809429353
rxn00138_c0,0.06573595203376742,0.06523528035881586
rxn00139_c0,-3.1067822253522306,-3.0831197117182985
rxn00141_c0,6.525557392280307,6.475856100215609
rxn00148_c0,-641.2594029672821,-88.21785110659265
rxn00148_d0,-41.48786470579917,-515.6587119486609
rxn00151_d0,0.0,0.0
rxn00154_d0,579.143274256754,515.555997651308
rxn00154_m0,7.655460720317967,0.0
rxn00154_n0,0.0,0.0
rxn00159_m0,0.0,0.0
rxn00161_c0,0.0,0.0
rxn00161_d0,0.0,0.0
rxn00166_c0,0.0,0.0
rxn00168_c0,19.244031404177473,17.749090882036526
rxn00175_d0,6.740379112452338,5.347844933453075
rxn00178_c0,0.0,4.973158268657575e-17
rxn00178_x0,0.0,0.0
rxn00179_c0,0.0,0.0
rxn00179_d0,0.0,0.0
rxn00184_c0,-826.6770997414862,-591.5341485303735
rxn00187_c0,0.0,0.0
rxn00187_d0,0.0,0.0
rxn00187_m0,0.0,0.0
rxn00189_c0,344.0345452321266,20.7339871798416
rxn00191_c0,-611.0815409272537,-67.21535970410685
rxn00191_d0,597.5129662125807,56.7011517108392
rxn00191_m0,0.0,0.008363497481874739
rxn00191_x0,0.0,0.0
rxn00192_d0,0.0,0.0
rxn00208_c0,0.0,0.0
rxn00208_d0,0.0,0.0
rxn00209_c0,0.0,0.0
rxn00209_d0,0.0,0.0
rxn00211_c0,64.55607597167392,64.06439071116047
rxn00213_c0,-282.64153912549347,-180.80117328090014
rxn00237_c0,2.2586198903927706,5.01647630515324
rxn00237_d0,8.137689477482018,7.658641902861073
rxn00237_m0,0.0,0.0
rxn00237_n0,0.0,0.0
rxn00237_x0,0.0,0.0
rxn00239_c0,4.449818291520085,6.305895195263303
rxn00247_c0,0.0,0.0
rxn00247_n0,0.0,0.0
rxn00248_c0,0.0,0.0
rxn00248_d0,0.0,51.03067483609406
rxn00248_m0,311.64683350364254,426.5929744649179
rxn00248_x0,0.0,0.0
rxn00257_c0,-330.7487741191869,-491.9563262313697
rxn00260_c0,0.0,0.0
rxn00260_d0,-57.25213748583004,-51.03067483609411
rxn00260_m0,0.0,-13.659853881240211
rxn00260_x0,0.05056611694909255,0.0
rxn00272_d0,0.0,0.0
rxn00272_m0,0.00842768615818198,0.0
rxn00272_x0,0.0,0.0
rxn00275_d0,-106.70563980743913,27.035663064697403
rxn00275_m0,-181.25787860819736,-482.01820380634183
rxn00275_x0,-0.05056611694909254,-0.050180984891231344
rxn00285_m0,0.0,0.0
rxn00299_c0,0.05056611694909253,0.05018098489123134
rxn00300_d0,0.016855372316363953,0.016726994963749464
rxn00313_d0,8.0905787118547,9.301970970589263
rxn00330_c0,0.0,0.0
rxn00333_d0,0.0,0.0
rxn00333_x0,0.05056611694909254,0.05018098489123134
rxn00337_d0,8.090578711854699,9.301970970589265
rxn00338_c0,0.05730826587558544,0.05687178287693965
rxn00338_d0,0.0,0.0
rxn00343_m0,0.0,0.0
rxn00361_c0,0.0,0.0
rxn00361_d0,0.0,0.0
rxn00363_c0,0.0,0.0
rxn00364_c0,0.617833672256294,0.6131280003962436
rxn00366_c0,0.0,0.0
rxn00366_g0,0.0,0.0
rxn00371_c0,0.0,0.0
rxn00371_m0,0.0,0.0
rxn00383_c0,0.0,0.0
rxn00383_x0,0.0,0.0
rxn00391_c0,-0.016855372316363956,-0.016726994963749475
rxn00391_d0,0.0,0.0
rxn00392_c0,0.0,0.0
rxn00392_d0,0.0,0.0
rxn00394_d0,0.0,0.0
rxn00394_m0,0.0,0.0
rxn00408_c0,0.0,0.0
rxn00408_g0,0.0,0.0
rxn00409_c0,0.0,0.6131280003962436
rxn00409_d0,0.0,0.0
rxn00409_m0,0.0,0.0
rxn00409_n0,0.0,0.0
rxn00409_x0,0.0,0.0
rxn00412_c0,4.382396802254629,5.506115759800062
rxn00414_d0,18.552371201175454,22.960187948102373
rxn00416_c0,4.719504248581908,5.891828889307555
rxn00420_d0,-88.54077361581379,-171.11384061590155
rxn00424_x0,0.0,0.0
rxn00425_c0,0.0,0.0
rxn00437_c0,0.0,0.0
rxn00439_c0,0.0,0.0
rxn00440_c0,0.008427686158181976,0.008363497481874739
rxn00451_c0,0.0,0.0
rxn00452_c0,0.0,0.0
rxn00454_c0,0.0,0.0
rxn00456_c0,0.0,0.0
rxn00459_c0,723.9426733734512,816.5856403985989
rxn00459_d0,172.08834602468204,0.0
rxn00459_n0,0.0,0.0
rxn00469_c0,0.0,0.0
rxn00493_c0,0.0,0.0
rxn00493_d0,-59.00223079343204,-57.9671927957865
rxn00493_m0,0.0,0.0
rxn00493_x0,0.0,0.0
rxn00495_c0,52.76574303637738,52.36385773401772
rxn00499_c0,-3.2867976016909717,-3.2617640179311462
rxn00506_c0,0.0,0.0
rxn00506_d0,0.0,0.0
rxn00506_m0,0.0,0.0
rxn00527_c0,0.0,0.0
rxn00527_d0,0.013062913545182065,0.012963421096905844
rxn00527_m0,0.0,0.0
rxn00527_x0,0.0,0.0
rxn00533_c0,0.025283058474545934,0.025090492445624214
rxn00533_d0,211.61919943194977,9.858019104291401
rxn00541_c0,-19.26931446265202,-17.77418137448215
rxn00543_c0,0.0,0.0
rxn00571_c0,0.0,-74.94318100667192
rxn00578_c0,-328.0583398319361,-225.87206121072307
rxn00611_c0,-10.955992005636569,-10.872546726437157
rxn00611_d0,0.0,0.0
rxn00654_c0,0.09573851475692054,0.09500933139410231
rxn00686_c0,-2.5283058474545936,-2.4154475734294985
rxn00686_m0,-0.05056611694909254,-0.05018098489123135
rxn00689_c0,0.0,0.0
rxn00689_d0,0.0,0.0
rxn00689_m0,0.0,0.0
rxn00690_c0,0.10955992005636639,0.10872546726435443
rxn00692_c0,-161.30064580891872,-37.5547835254816
rxn00692_d0,97.3037974062298,-28.34755584343015
rxn00692_m0,169.7283319671007,255.3267911533194
rxn00693_c0,6.525557392280307,6.475856100215609
rxn00693_d0,4.1837562395062795,3.264781233282707
rxn00693_x0,0.0,0.0
rxn00708_c0,0.09573851475692055,0.09500933139410192
rxn00710_c0,9.281916427175279,15.993101237844023
rxn00711_d0,0.0,0.0
rxn00720_d0,-0.09573851475692054,-0.09500933139410192
rxn00737_d0,6.994979511291043,7.44649317483116
rxn00747_c0,0.0,0.0
rxn00747_d0,-421.71384873359426,-340.5912274868255
rxn00747_m0,0.0,0.0
rxn00770_c0,12.454434604561278,19.14145622992114
rxn00770_d0,14.618580133123961,15.520678377303295
rxn00777_c0,-12.462862290719462,-19.149819727403013
rxn00777_d0,-31.5012300603522,-31.561751605205387
rxn00777_n0,0.0,0.0
rxn00779_c0,0.0,0.0
rxn00781_c0,372.1548817701012,10.895964519386325
rxn00781_d0,-0.10793416822250564,503.0723641237242
rxn00781_m0,0.0,0.0
rxn00781_n0,0.0,0.0
rxn00782_d0,435.44329818044014,131.50347113958685
rxn00789_d0,-3.2025207401091507,-2.8546630835832114
rxn00790_d0,-9.393414715051136,-11.118237512023054
rxn00791_d0,-2.022644677963674,-1.5477777816970257
rxn00799_m0,-314.7650773821699,-480.7181433693052
rxn00800_d0,8.13768947748202,7.658641902861074
rxn00802_d0,9.270454774000177,6.967086710258345
rxn00829_c0,0.0,4.973158268657575e-17
rxn00829_x0,0.0,0.0
rxn00830_c0,-0.20732107949127673,-0.20574203805411817
rxn00830_d0,-0.21111353826245857,-0.2095056119209625
rxn00830_m0,0.0,0.0
rxn00832_d0,-12.587507769002105,-13.964537098124389
rxn00834_c0,4.449818291520085,6.305895195263304
rxn00838_d0,8.137689477482018,7.658641902861073
rxn00839_c0,2.528305847454593,0.0
rxn00839_d0,0.0,0.0
rxn00839_m0,0.0,0.0
rxn00839_n0,0.0,0.0
rxn00839_x0,0.0,0.0
rxn00863_d0,3.2025207401091516,2.8546630835832114
rxn00899_d0,0.0,0.0
rxn00899_m0,0.0,0.0
rxn00907_c0,147.95043244260424,53.63451813562609
rxn00907_d0,-97.3037974062298,0.0
rxn00907_m0,-28.74998941390299,-28.63537850029703
rxn00908_m0,140.9783425531977,226.69141265302235
rxn00912_c0,0.09573851475692055,0.09500933139410031
rxn00912_m0,0.0,0.0
rxn00915_c0,0.0,0.0
rxn00917_c0,4.449818291520085,6.305895195263304
rxn00929_c0,0.0,-7.0772665060998285
rxn00929_d0,-8.090578711854699,-4.193885293622182e-16
rxn00931_c0,0.0,0.0
rxn00931_d0,0.0,0.0
rxn00937_m0,0.0,0.0
rxn00938_c0,0.00842768615818198,0.00836349748187474
rxn00940_c0,0.0,0.0
rxn00943_x0,0.0,0.0
rxn00947_d0,0.0,0.0
rxn00947_r0,0.0,0.0
rxn00947_x0,0.0,0.0
rxn00965_c0,0.008427686158181976,0.008363497481874737
rxn00974_c0,329.6531749186233,490.869071558726
rxn00974_d0,0.0,0.0
rxn00974_m0,0.0,0.0
rxn00979_c0,0.05056611694909254,0.05018098489123134
rxn00980_c0,0.0,0.0
rxn00980_d0,0.0,0.0
rxn00980_n0,0.0,0.0
rxn01000_d0,59.00223079343205,57.96719279578648
rxn01005_c0,0.0,0.0
rxn01007_c0,64.55607597167392,64.06439071116047
rxn01009_c0,0.0,0.0
rxn01011_d0,0.0,0.0
rxn01011_x0,0.0,0.0
rxn01018_d0,9.281916427175274,15.993101237844028
rxn01019_d0,9.270454774000177,6.967086710258344
rxn01021_c0,0.0,0.0
rxn01069_d0,-4.1837562395062795,-3.264781233282707
