ID,Metabolite,Botero 2018,Guevara 2023,PstKB_Ori,PstKB_cobra
cpd00001[c0],H2O,,52.48687847,30.0,52.48687847
cpd00002[c0],ATP,1.0,50.8640296,30.027,50.8640296
cpd00003[c0],NAD,,,0.0003,0.0003
cpd00004[c0],NADH,,,0.00015,0.00015
cpd00005[c0],NADPH,,,0.0001,0.0001
cpd00006[c0],NADP,,,0.00013,0.00013
cpd00008[c0],ADP,30.0,50.82162542,30.0,50.82162542
cpd00009[c0],Phosphate,,,30.0,30.0
cpd00010[c0],CoA,,,0.000136,0.000136
cpd00012[c0],PPi,,0.251163514,0.218,0.251163514
cpd00014[c0],UDP,,,0.766,0.766
cpd00015[c0],FAD,,,0.0001,0.0001
cpd00016[c0],Pyridoxalphosphate,,,0.0001,0.0001
cpd00017[c0],S-Adenosyl-L-methionine,,,0.000543,0.000543
cpd00023[c0],L-Glutamate,0.39,0.113680655,0.13,0.113680655
cpd00032[c0],Oxaloacetate,,,0.0757,0.0757
cpd00033[c0],Glycine,0.14,0.119759406,0.15,0.119759406
cpd00035[c0],L-Alanine,0.107,0.125715444,0.161,0.125715444
cpd00038[c0],GTP,0.0039,0.059180604,0.026,0.059180604
cpd00039[c0],L-Lysine,0.001,0.111221065,0.096,0.111221065
cpd00041[c0],L-Aspartate,0.162,0.092200102,0.098,0.092200102
cpd00050[c0],FMN,,,0.0001,0.0001
cpd00051[c0],L-Arginine,,0.083303507,0.11,0.083303507
cpd00052[c0],CTP,0.0032,0.050417865,0.026,0.050417865
cpd00053[c0],L-Glutamine,0.35,0.059905153,0.071,0.059905153
cpd00054[c0],L-Serine,0.21,0.136485824,0.1,0.136485824
cpd00056[c0],TPP,,,0.0001,0.0001
cpd00060[c0],L-Methionine,0.002,0.038393076,0.049,0.038393076
cpd00062[c0],UTP,0.0028,0.095373121,0.027,0.095373121
cpd00065[c0],L-Tryptophan,0.04,0.018506346,0.024,0.018506346
cpd00066[c0],L-Phenylalanine,0.08,0.06699751,0.074,0.06699751
cpd00067[c0],H+,,50.82162542,30.0,50.82162542
cpd00069[c0],L-Tyrosine,0.03,0.048038431,0.049,0.048038431
cpd00080[c0],Glycerol-3-phosphate,,,0.13,0.13
cpd00084[c0],L-Cysteine,0.024,0.02357061,0.029,0.02357061
cpd00087[c0],Tetrahydrofolate,,,0.0001,0.0001
cpd00099[c0],Cl-,,,0.21,0.21
cpd00104[c0],BIOT,,,0.0001,0.0001
cpd00107[c0],L-Leucine,0.14,0.149333364,0.172,0.149333364
cpd00115[c0],dATP,0.0027,0.028880831,0.03,0.028880831
cpd00119[c0],L-Histidine,,0.034132408,0.038,0.034132408
cpd00125[c0],5-10-Methylenetetrahydrofolate,,,0.0001,0.0001
cpd00129[c0],L-Proline,0.01,0.084620896,0.096,0.084620896
cpd00130[c0],L-Malate,,,0.037,0.037
cpd00132[c0],L-Asparagine,0.39,0.07044695,0.056,0.07044695
cpd00137[c0],Citrate,,,0.013,0.013
cpd00156[c0],L-Valine,,0.115457465,0.127,0.115457465
cpd00159[c0],L-Lactate,,,0.039,0.039
cpd00161[c0],L-Threonine,0.086,0.084449203,0.096,0.084449203
cpd00163[c0],UDP-xylose,0.282,0.282,0.766,0.282
cpd00201[c0],10-Formyltetrahydrofolate,,,0.0001,0.0001
cpd00205[c0],K+,,,0.307,0.307
cpd00214[c0],Palmitate,,0.000304255,0.329,0.000304255
cpd00241[c0],dGTP,0.00166,0.015417221,0.026,0.015417221
cpd00322[c0],L-Isoleucine,0.06,0.089035636,0.083,0.089035636
cpd00331[c0],cis-Aconitate,,,0.086,0.086
cpd00345[c0],5-Methyltetrahydrofolate,,,0.0001,0.0001
cpd00347[c0],5-10-Methenyltetrahydrofolate,,,0.0001,0.0001
cpd00356[c0],dCTP,0.0018,0.015417221,0.026,0.015417221
cpd00357[c0],TTP,0.0028,0.028880831,0.03,0.028880831
cpd00536[c0],Oleate,,0.003467474,0.015,0.003467474
cpd00604[c0],4-Coumarate,,,0.55,0.55
cpd00834[c0],Phosphopantetheine,,,0.001,0.001
cpd01059[c0],Ferulate,,,0.076,0.076
cpd01080[c0],ocdca,,,0.011,0.011
cpd02197[c0],5-Formyltetrahydrofolate,,,0.0001,0.0001
cpd12844[d0],Phytonadiol_d0,,,0.000975,0.000975
cpd16443[c0],beta-D-Ribofuranose,,,0.0377,0.0377
cpd16503[c0],Plastoquinol-9,,,0.000155,0.000155
cpd19001[c0],alpha-D-Glucose,0.053,0.053,1.59,0.053
cpd25914[c0],ubiquinol(9),,,0.0001,0.0001
cpd30321[c0],beta-D-Fructose,0.053,,0.2271,0.2271
