ID,PstKB_cobra
cpd00001,52.48687847
cpd00002,50.8640296
cpd00003,0.0003
cpd00004,0.00015
cpd00005,0.0001
cpd00006,0.00013
cpd00008,50.82162542
cpd00009,30.0
cpd00010,0.000136
cpd00012,0.251163514
cpd00014,0.766
cpd00015,0.0001
cpd00016,0.0001
cpd00017,0.000543
cpd00023,0.113680655
cpd00032,0.0757
cpd00033,0.119759406
cpd00035,0.125715444
cpd00038,0.059180604
cpd00039,0.111221065
cpd00041,0.092200102
cpd00050,0.0001
cpd00051,0.083303507
cpd00052,0.050417865
cpd00053,0.059905153
cpd00054,0.136485824
cpd00056,0.0001
cpd00060,0.038393076
cpd00062,0.095373121
cpd00065,0.018506346
cpd00066,0.06699751
cpd00067,50.82162542
cpd00069,0.048038431
cpd00080,0.13
cpd00084,0.02357061
cpd00087,0.0001
cpd00099,0.21
cpd00104,0.0001
cpd00107,0.149333364
cpd00115,0.028880831
cpd00119,0.034132408
cpd00125,0.0001
cpd00129,0.084620896
cpd00130,0.037
cpd00132,0.07044695
cpd00137,0.013
cpd00156,0.115457465
cpd00159,0.039
cpd00161,0.084449203
cpd00163,0.282
cpd00201,0.0001
cpd00205,0.307
cpd00214,0.000304255
cpd00241,0.015417221
cpd00322,0.089035636
cpd00331,0.086
cpd00345,0.0001
cpd00347,0.0001
cpd00356,0.015417221
cpd00357,0.028880831
cpd00536,0.003467474
cpd00604,0.55
cpd00834,0.001
cpd01059,0.076
cpd01080,0.011
cpd02197,0.0001
cpd12844,0.000975
cpd16443,0.0377
cpd16503,0.000155
cpd19001,0.053
cpd25914,0.0001
cpd30321,0.2271
