,Original,cpd00001,cpd00002,cpd00003,cpd00004,cpd00005,cpd00006,cpd00008,cpd00009,cpd00010,cpd00012,cpd00014,cpd00015,cpd00016,cpd00017,cpd00023,cpd00032,cpd00033,cpd00035,cpd00038,cpd00039,cpd00041,cpd00050,cpd00051,cpd00052,cpd00053,cpd00054,cpd00056,cpd00060,cpd00062,cpd00065,cpd00066,cpd00067,cpd00069,cpd00080,cpd00084,cpd00087,cpd00099,cpd00104,cpd00107,cpd00115,cpd00119,cpd00125,cpd00129,cpd00130,cpd00132,cpd00137,cpd00156,cpd00159,cpd00161,cpd00163,cpd00201,cpd00205,cpd00214,cpd00241,cpd00322,cpd00331,cpd00345,cpd00347,cpd00356,cpd00357,cpd00536,cpd00604,cpd00834,cpd01059,cpd01080,cpd02197,cpd12844,cpd16443,cpd16503,cpd19001,cpd25914,cpd30321
rxn00001_c0,-191.41790439720447,-397.3628254033862,68.40965230451,-191.41790439720447,-191.41790439720447,-191.41790439720447,-191.41790439720447,0.0,-191.41790439720447,-191.41790439720447,-230.33515350458293,-191.41790439720447,-191.41790439720447,-191.41790439720447,-191.41790439720447,-356.3526760067688,-191.41790439720447,-232.44265371050645,-286.88384932202905,-185.12476487448558,-191.87784627994216,0.0,-191.41790439720447,-232.7222497201636,-189.1922505637659,-191.1554493390796,-233.60152415557138,-191.41790439720447,-193.14261081078314,-226.38507758701468,-232.80993448083078,-191.22495939568978,-213.06747634816074,-232.82057252479572,-191.41790439720447,-449.82366081135655,-191.41790439720447,-191.41790439720447,-191.41790439720447,-232.04211993546542,-191.54318877223093,-232.8917463480904,-191.41790439720447,-465.0579247290372,-191.41790439720447,-190.40692724161136,-191.41790439720447,-235.78379763304918,-191.41790439720447,-232.520971065096,0.0,-191.41790439720447,-191.41790439720447,-561.2514486746805,-234.25540005441837,-233.06643335212735,-191.41790439720447,-191.41790439720447,-191.41790439720447,-192.4219491756062,-191.6059162388821,-199.9006438475489,-191.41790439720447,-191.41790439720447,-191.41790439720447,-191.41790439720447,-191.41790439720447,-191.41790439720447,-191.41790439720447,-191.41790439720447,-448.23769788112037,-191.41790439720447,-191.41790439720447
rxn00001_d0,0.0,0.0,-274.07482915826125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.1443568075813,0.0,0.0,-115.30170255556415,0.0,39.3243860459832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.016287403107455,0.0,0.0,257.46861756995787,0.0,0.0,0.0,41.428536901424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.75872084774474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rxn00001_g0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rxn00001_v0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rxn00001_w0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rxn00006_c0,0.02865413293785696,0.031062816853156924,0.0020246319329467904,0.02865413293785696,0.02865413293785696,0.02865413293785696,0.02865413293785696,0.0,0.02865413293785696,0.02865413293785696,0.02868366004729313,0.02865413293785696,0.02865413293785696,0.02865413293785696,0.02865413293785696,0.028640453938238365,0.02865413293785696,0.02863791854679872,0.028623678765158023,0.02817705950658672,0.028650695099372944,0.028647911193135853,0.02865413293785696,0.028762567672104007,0.02838733661088853,0.02865469684153946,0.028671657256548022,0.02865413293785696,0.028707512651416574,0.028021663710512307,0.028700292911510855,0.02868383517910341,0.026631264973046895,0.028657922789226676,0.02865413293785696,0.02867759231516325,0.02865413293785696,0.02865413293785696,0.02865413293785696,0.028655861080380558,0.028670408166854615,0.028683356894478117,0.02865413293785696,0.028659081810975085,0.02865413293785696,0.028637132620507464,0.02865413293785696,0.028644456544596648,0.02865413293785696,0.028644808144780588,0.0,0.02865413293785696,0.02865413293785696,0.030000957429927904,0.028812881463206486,0.02865706449569279,0.02865413293785696,0.02865413293785696,0.02865413293785696,0.028774491034350928,0.028666974939949144,0.02873001019387409,0.02865413293785696,0.02865413293785696,0.02865413293785696,0.02865413293785696,0.02865413293785696,0.02865413293785696,0.02865413293785696,0.02865413293785696,0.027496396463034055,0.02865413293785696,0.02865413293785696
rxn00006_x0,0.02528305847453475,0.02740836781179184,0.001786439940480407,0.02528305847453475,0.02528305847453475,0.02528305847453475,0.02528305847453475,0.0,0.02528305847453475,0.02528305847453475,0.025309111806086818,0.02528305847453475,0.02528305847453475,0.02528305847453475,0.02528305847453475,0.025270988768889252,0.02528305847453475,0.02526875165901453,0.025256187145816584,0.02486211132924227,0.025280025087663673,0.025277568699813263,0.02528305847453475,0.025378730631240784,0.025047649950702862,0.025283556036561048,0.025298521108912696,0.02528305847453475,0.025330158222072643,0.024724997391753847,0.02532378786329354,0.025309266334585304,0.023498174976160652,0.025286402460753064,0.02528305847453475,0.025303757925198102,0.02528305847453475,0.02528305847453475,0.02528305847453475,0.025284583306141216,0.025297418970870796,0.025308844318653205,0.02528305847453475,0.025287425127416687,0.02528305847453475,0.025268058194585895,0.02528305847453475,0.02527452048054077,0.02528305847453475,0.025274830716516726,0.0,0.02528305847453475,0.02528305847453475,0.026471433026451118,0.0254231307037759,0.02528564514320245,0.02528305847453475,0.02528305847453475,0.02528305847453475,0.02538925679504098,0.02529438965248122,0.025350008994681296,0.02528305847453475,0.02528305847453475,0.02528305847453475,0.02528305847453475,0.02528305847453475,0.02528305847453475,0.02528305847453475,0.02528305847453475,0.024261526290840392,0.02528305847453475,0.02528305847453475
rxn00018_d0,0.0,0.0,12.528373918454111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rxn00018_x0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rxn00048_d0,0.016855372316363935,0.018272245207860763,0.0011909599603202787,0.016855372316363935,0.016855372316363935,0.016855372316363935,0.016855372316363935,0.0,0.016855372316363935,0.016855372316363935,0.01687274120428447,0.016855372316363935,0.016855372316363935,0.016855372316363935,0.016855372316363935,0.016847325845922592,0.016855372316363935,0.016845834439349942,0.01683745809721184,0.016574740886177507,0.01685335005846446,0.016851712466547156,0.016855372316363935,0.01691915374799141,0.016698433300477444,0.01685570402439863,0.016865680739258437,0.016855372316363935,0.01688677214805735,0.01648333159448604,0.016882525242260485,0.016872844223056852,0.015665449984109063,0.01685760164050139,0.016855372316363935,0.016869171950132895,0.016855372316363935,0.016855372316363935,0.016855372316363935,0.016856388870818622,0.016864945980587985,0.016872562879100376,0.016855372316363935,0.016858283418278858,0.016855372316363935,0.016845372129724135,0.016855372316363935,0.016849680320358964,0.016855372316363935,0.016849887144338643,0.0,0.016855372316363935,0.016855372316363935,0.01764762201763375,0.01694875380251791,0.01685709676212248,0.016855372316363935,0.016855372316363935,0.016855372316363935,0.01692617119670238,0.016862926435121883,0.016900005996457128,0.016855372316363935,0.016855372316363935,0.016855372316363935,0.016855372316363935,0.016855372316363935,0.016855372316363935,0.016855372316363935,0.016855372316363935,0.01617435086056097,0.016855372316363935,0.016855372316363935
