,ID,Name
0,R_rxn00001_c0,diphosphate phosphohydrolase_c0
1,R_rxn00001_d0,diphosphate phosphohydrolase_d0
2,R_rxn00001_g0,diphosphate phosphohydrolase_g0
3,R_rxn00001_v0,diphosphate phosphohydrolase_v0
4,R_rxn00001_w0,diphosphate phosphohydrolase_w0
5,R_rxn00006_c0,hydrogen-peroxide:hydrogen-peroxide oxidoreductase_c0
6,R_rxn00006_x0,hydrogen-peroxide:hydrogen-peroxide oxidoreductase_x0
7,R_rxn00018_d0,"3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)_d0"
8,R_rxn00018_x0,"3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)_x0"
9,R_rxn00048_d0,"6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase_d0"
10,R_rxn00069_d0,L-glutamate:NAD+ oxidoreductase (transaminating)_d0
11,R_rxn00076_c0,NAD+ phosphohydrolase_c0
12,R_rxn00076_d0,NAD+ phosphohydrolase_d0
13,R_rxn00077_c0,ATP:NAD+ 2'-phosphotransferase_c0
14,R_rxn00077_d0,ATP:NAD+ 2'-phosphotransferase_d0
15,R_rxn00078_c0,ATP:NADH 2'-phosphotransferase_c0
16,R_rxn00078_x0,ATP:NADH 2'-phosphotransferase_x0
17,R_rxn00083_c0,NADPH:NAD+ oxidoreductase_c0
18,R_rxn00086_c0,glutathione:NADP+ oxidoreductase_c0
19,R_rxn00086_d0,glutathione:NADP+ oxidoreductase_d0
20,R_rxn00086_m0,glutathione:NADP+ oxidoreductase_m0
21,R_rxn00088_c0,NADP+ 2'-phosphohydrolase_c0
22,R_rxn00097_c0,ATP:AMP phosphotransferase_c0
23,R_rxn00097_d0,ATP:AMP phosphotransferase_d0
24,R_rxn00097_m0,ATP:AMP phosphotransferase_m0
25,R_rxn00097_n0,ATP:AMP phosphotransferase_n0
26,R_rxn00100_c0,ATP:dephospho-CoA 3'-phosphotransferase_c0
27,R_rxn00100_x0,ATP:dephospho-CoA 3'-phosphotransferase_x0
28,R_rxn00101_c0,Urea amidohydrolase_c0
29,R_rxn00102_c0,carbonate hydro-lyase (carbon-dioxide-forming)_c0
30,R_rxn00102_d0,carbonate hydro-lyase (carbon-dioxide-forming)_d0
31,R_rxn00105_c0,ATP:nicotinamide-nucleotide adenylyltransferase_c0
32,R_rxn00116_c0,UDP phosphohydrolase_c0
33,R_rxn00116_g0,UDP phosphohydrolase_g0
34,R_rxn00117_c0,ATP:UDP phosphotransferase_c0
35,R_rxn00117_d0,ATP:UDP phosphotransferase_d0
36,R_rxn00117_m0,ATP:UDP phosphotransferase_m0
37,R_rxn00117_n0,ATP:UDP phosphotransferase_n0
38,R_rxn00117_x0,ATP:UDP phosphotransferase_x0
39,R_rxn00119_c0,ATP:UMP phosphotransferase_c0
40,R_rxn00120_c0,UTP phosphohydrolase_c0
41,R_rxn00120_g0,UTP phosphohydrolase_g0
42,R_rxn00121_c0,FAD nucleotidohydrolase_c0
43,R_rxn00121_d0,FAD nucleotidohydrolase_d0
44,R_rxn00122_c0,ATP:FMN adenylyltransferase_c0
45,R_rxn00122_d0,ATP:FMN adenylyltransferase_d0
