ID Metabolito,Coeficiente
M_cpd00035_c0,0.161
M_cpd00159_c0,0.039
M_cpd01059_c0,0.076
M_cpd00066_c0,0.074
M_cpd00107_c0,0.172
M_cpd00065_c0,0.024
M_cpd00004_c0,0.00015
M_cpd00015_c0,0.0001
M_cpd00347_c0,0.0001
M_cpd00054_c0,0.1
M_cpd00115_c0,0.03
M_cpd00001_c0,30.0
M_cpd00125_c0,0.0001
M_cpd01080_c0,0.011
M_cpd00356_c0,0.026
M_cpd00039_c0,0.096
M_cpd00119_c0,0.038
M_cpd00032_c0,0.0757
M_cpd00005_c0,0.0001
M_cpd00536_c0,0.015
M_cpd12844_d0,0.000975
M_cpd00050_c0,0.0001
M_cpd00161_c0,0.096
M_cpd00023_c0,0.13
M_cpd00051_c0,0.11
M_cpd00033_c0,0.15
M_cpd00132_c0,0.056
M_cpd00104_c0,0.0001
M_cpd00130_c0,0.037
M_cpd00322_c0,0.083
M_cpd00017_c0,0.000543
M_cpd00060_c0,0.049
M_cpd00137_c0,0.013
M_cpd00331_c0,0.086
M_cpd16503_c0,0.000155
M_cpd00345_c0,0.0001
M_cpd00163_c0,0.766
M_cpd00156_c0,0.127
M_cpd30321_c0,0.2271
M_cpd00241_c0,0.026
M_cpd00041_c0,0.098
M_cpd00010_c0,0.000136
M_cpd19001_c0,1.59
M_cpd00214_c0,0.329
M_cpd00604_c0,0.55
M_cpd00834_c0,0.001
M_cpd02197_c0,0.0001
M_cpd00053_c0,0.071
M_cpd00099_c0,0.21
M_cpd00084_c0,0.029
M_cpd00129_c0,0.096
M_cpd00003_c0,0.0003
M_cpd00038_c0,0.026
M_cpd00201_c0,0.0001
M_cpd00080_c0,0.13
M_cpd00052_c0,0.026
M_cpd16443_c0,0.0377
M_cpd00087_c0,0.0001
M_cpd00006_c0,0.00013
M_cpd00357_c0,0.03
M_cpd00062_c0,0.027
M_cpd00016_c0,0.0001
M_cpd00205_c0,0.307
M_cpd00002_c0,30.027
M_cpd25914_c0,0.0001
M_cpd00056_c0,0.0001
M_cpd00069_c0,0.049
M_cpd00009_c0,30.0
M_cpd00012_c0,0.218
M_cpd00067_c0,30.0
M_cpd11416_c0,1.0
M_cpd00014_c0,0.766
M_cpd00008_c0,30.0
