ID Metabolito,Coeficiente
M_cpd00035_c0,0.125715444
M_cpd00159_c0,0.039
M_cpd01059_c0,0.076
M_cpd00066_c0,0.06699751
M_cpd00107_c0,0.149333364
M_cpd00065_c0,0.018506346
M_cpd00004_c0,0.00015
M_cpd00015_c0,0.0001
M_cpd00347_c0,0.0001
M_cpd00054_c0,0.136485824
M_cpd00115_c0,0.028880831
M_cpd00001_c0,52.48687847
M_cpd00125_c0,0.0001
M_cpd01080_c0,0.011
M_cpd00356_c0,0.015417221
M_cpd00039_c0,0.111221065
M_cpd00119_c0,0.034132408
M_cpd00032_c0,0.0757
M_cpd00005_c0,0.0001
M_cpd00536_c0,0.003467474
M_cpd12844_d0,0.000975
M_cpd00050_c0,0.0001
M_cpd00161_c0,0.084449203
M_cpd00023_c0,0.113680655
M_cpd00051_c0,0.083303507
M_cpd00033_c0,0.119759406
M_cpd00132_c0,0.07044695
M_cpd00104_c0,0.0001
M_cpd00130_c0,0.037
M_cpd00322_c0,0.089035636
M_cpd00017_c0,0.000543
M_cpd00060_c0,0.038393076
M_cpd00137_c0,0.013
M_cpd00331_c0,0.086
M_cpd16503_c0,0.000155
M_cpd00345_c0,0.0001
M_cpd00163_c0,0.282
M_cpd00156_c0,0.115457465
M_cpd30321_c0,0.2271
M_cpd00241_c0,0.015417221
M_cpd00041_c0,0.092200102
M_cpd00010_c0,0.000136
M_cpd19001_c0,0.053
M_cpd00214_c0,0.000304255
M_cpd00604_c0,0.55
M_cpd00834_c0,0.001
M_cpd02197_c0,0.0001
M_cpd00053_c0,0.059905153
M_cpd00099_c0,0.21
M_cpd00084_c0,0.02357061
M_cpd00129_c0,0.084620896
M_cpd00003_c0,0.0003
M_cpd00038_c0,0.059180604
M_cpd00201_c0,0.0001
M_cpd00080_c0,0.13
M_cpd00052_c0,0.050417865
M_cpd16443_c0,0.0377
M_cpd00087_c0,0.0001
M_cpd00006_c0,0.00013
M_cpd00357_c0,0.028880831
M_cpd00062_c0,0.095373121
M_cpd00016_c0,0.0001
M_cpd00205_c0,0.307
M_cpd00002_c0,50.8640296
M_cpd25914_c0,0.0001
M_cpd00056_c0,0.0001
M_cpd00069_c0,0.048038431
M_cpd00009_c0,30.0
M_cpd00012_c0,0.251163514
M_cpd00067_c0,50.82162542
M_cpd11416_c0,1.0
M_cpd00014_c0,0.766
M_cpd00008_c0,50.82162542
